import time: self [us] | cumulative | imported package
import time:      5090 |       6080 |                   tensorflow.python.ops.random_ops
import time:      2691 |      23843 |                 tensorflow.python.ops.init_ops
import time:      1474 |      25316 |               tensorflow.python.ops.variable_scope
import time:      2623 |     121596 |             tensorflow.python.framework.function
import time:       948 |     122543 |           tensorflow.python.framework.importer
import time:       247 |        247 |               tensorflow.python.lib
import time:       447 |        694 |             tensorflow.python.lib.io
import time:       615 |        615 |                 _uuid
import time:      1254 |       1868 |               uuid
import time:      1212 |       3080 |             tensorflow.python.lib.io.file_io
import time:       499 |       4271 |           tensorflow.python.framework.load_library
import time:       890 |     174706 |         tensorflow.python.framework.framework_lib
import time:       304 |        304 |           tensorflow.python.client
import time:       560 |        560 |             tensorflow.python.ops.session_ops
import time:      1536 |       2096 |           tensorflow.python.client.session
import time:       695 |       3094 |         tensorflow.python.client.client_lib
import time:      3403 |       3403 |               tensorflow.python.ops.check_ops
import time:      2026 |       5429 |             tensorflow.python.ops.sparse_ops
import time:     17425 |      22854 |           tensorflow.python.ops.array_grad
import time:      1498 |       1498 |             tensorflow.python.ops.gen_cudnn_rnn_ops
import time:      1606 |       3104 |           tensorflow.python.ops.cudnn_rnn_grad
import time:       464 |        464 |                 tensorflow.python.lib.io.tf_record
import time:       311 |        775 |               tensorflow.python.lib.io.python_io
import time:      1396 |       2170 |             tensorflow.python.ops.data_flow_ops
import time:      5941 |       8111 |           tensorflow.python.ops.data_flow_grad
import time:       370 |        370 |               tensorflow.python.ops.gen_manip_ops
import time:       306 |        676 |             tensorflow.python.ops.manip_ops
import time:       906 |       1581 |           tensorflow.python.ops.manip_grad
import time:     32996 |      32996 |           tensorflow.python.ops.math_grad
import time:       827 |        827 |           tensorflow.python.ops.random_grad
import time:      9677 |       9677 |           tensorflow.python.ops.sparse_grad
import time:       977 |        977 |             tensorflow.python.ops.spectral_ops
import time:      9335 |      10311 |           tensorflow.python.ops.spectral_grad
import time:     13891 |      13891 |           tensorflow.python.ops.state_grad
import time:     29542 |      29542 |           tensorflow.python.ops.tensor_array_grad
import time:       678 |        678 |             tensorflow.python.ops.numerics
import time:       919 |       1596 |           tensorflow.python.ops.clip_ops
import time:      1205 |       1205 |           tensorflow.python.ops.special_math_ops
import time:      1252 |       1252 |           tensorflow.python.ops.confusion_matrix
import time:      2114 |       2114 |           tensorflow.python.ops.functional_ops
import time:       516 |        516 |               tensorflow.python.eager.graph_only_ops
import time:       585 |        585 |               tensorflow.python.framework.tensor_spec
import time:     11064 |      11064 |                 tensorflow.python.ops.control_flow_grad
import time:      3257 |       3257 |                   tensorflow.python.ops.gen_image_ops
import time:      4494 |       7750 |                 tensorflow.python.ops.image_grad
import time:      1148 |       1148 |                   tensorflow.python.ops.linalg_ops
import time:       390 |        390 |                   tensorflow.python.ops.linalg
import time:       790 |        790 |                   tensorflow.python.ops.linalg.linalg_impl
import time:      9322 |      11649 |                 tensorflow.python.ops.linalg_grad
import time:       327 |        327 |                     tensorflow.python.compat
import time:       841 |        841 |                     tensorflow.python.compat.compat
import time:      2723 |       2723 |                     tensorflow.python.ops.gen_string_ops
import time:      8638 |      12529 |                   tensorflow.python.ops.string_ops
import time:      5818 |      18346 |                 tensorflow.python.ops.logging_ops
import time:      2078 |      50886 |               tensorflow.python.ops.gradients_impl
import time:       344 |        344 |                 tensorflow.python.util.lazy_loader
import time:      1089 |       1433 |               tensorflow.python.training.distribution_strategy_context
import time:      2156 |      55573 |             tensorflow.python.eager.function
import time:       957 |        957 |               tensorflow.python.eager.imperative_grad
import time:      1438 |       2394 |             tensorflow.python.eager.backprop
import time:       718 |        718 |             tensorflow.python.ops.custom_gradient
import time:       768 |      59452 |           tensorflow.python.ops.gradients
import time:       488 |        488 |           tensorflow.python.ops.histogram_ops
import time:      7839 |       7839 |           tensorflow.python.ops.io_ops
import time:      2695 |       2695 |             tensorflow.python.ops.gen_lookup_ops
import time:      8965 |      11659 |           tensorflow.python.ops.lookup_ops
import time:      2729 |       2729 |             tensorflow.python.ops.gen_parsing_ops
import time:      5365 |       8093 |           tensorflow.python.ops.parsing_ops
import time:       679 |        679 |           tensorflow.python.ops.partitioned_variables
import time:       873 |        873 |             tensorflow.python.ops.gen_script_ops
import time:      2753 |       3626 |           tensorflow.python.ops.script_ops
import time:      1240 |       1240 |               tensorflow.core.protobuf.checkpointable_object_graph_pb2
import time:       344 |        344 |                   tensorflow.python.framework.graph_io
import time:       632 |        976 |                 tensorflow.python.training.training_util
import time:       783 |        783 |                 tensorflow.python.training.checkpoint_state_pb2
import time:      1014 |       2771 |               tensorflow.python.training.checkpoint_management
import time:       701 |        701 |                           tensorflow.python.data.experimental.ops
import time:       659 |        659 |                             tensorflow.python.data.ops
import time:       271 |        271 |                                   tensorflow.python.data.util
import time:       409 |        409 |                                     tensorflow.python.data.util.nest
import time:       855 |       1264 |                                   tensorflow.python.data.util.structure
import time:      4583 |       4583 |                                   tensorflow.python.ops.gen_dataset_ops
import time:       684 |       6801 |                                 tensorflow.python.data.ops.optional_ops
import time:       387 |        387 |                                 tensorflow.python.data.util.sparse
import time:       527 |        527 |                                   tensorflow.python.framework.meta_graph
import time:       442 |        442 |                                   tensorflow.python.platform.gfile
import time:      6474 |       7442 |                                 tensorflow.python.training.saver
